id,clinic_id,account_id,name,is_active,license_number,occupation_id,sort_order,staff_type,reservation_display_name,reservation_visible,reservation_comment,reservation_image_url,created_at,updated_at,deleted_at
1,1,2,林 文明,t,V-10001,1,1,doctor,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
2,1,3,山﨑 晶子,t,V-10002,1,2,doctor,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
3,1,4,三井 隆之,t,V-10003,1,3,doctor,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
4,1,1,ノア,t,V-10004,1,4,doctor,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
5,1,,加藤 茉里,t,"",2,5,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
6,1,,金谷 亜美,t,"",2,6,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
7,1,,稲村 一真,t,"",2,7,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
8,1,5,安田 希恵,t,"",2,8,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
9,1,6,倉田 春香,t,"",2,9,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
10,1,7,梶原 梨夢,t,"",2,10,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
11,1,8,髙木 賀央里,t,"",2,11,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
12,1,,お手入れ・オゾン療法,t,"",3,12,resource,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
13,1,,健診・ワクチン・狂犬病,t,"",3,13,resource,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
14,1,,ドッグラン(アジリティ解放),t,"",4,14,resource,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,1,,クイックシャンプー,t,"",3,15,resource,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,2,10,木村 健太,t,V-40001,5,1,doctor,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,2,11,佐々木 美香,t,V-40002,5,2,doctor,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,2,,高橋 翔太,t,V-40003,5,3,doctor,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,2,,田村 由紀,t,"",6,4,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,2,,中村 大輔,t,"",6,5,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,2,,小林 麻衣,t,"",6,6,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,2,,井上 拓也,t,"",6,7,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,2,,健診・ワクチン・狂犬病,t,"",7,8,resource,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
24,2,,トリミング,t,"",7,9,resource,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,2,,クイックシャンプー,t,"",7,10,resource,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
26,3,12,藤原 誠一,t,V-50001,9,1,doctor,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
27,3,13,松本 さやか,t,V-50002,9,2,doctor,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
28,3,,石田 和也,t,V-50003,9,3,doctor,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
29,3,,岡本 菜々子,t,"",10,4,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
30,3,,西村 健二,t,"",10,5,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
31,3,,健診・ワクチン・狂犬病,t,"",11,6,resource,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
32,3,,トリミング,t,"",11,7,resource,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
33,1,14,さくら（デモ）,t,"",3,0,trimmer,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
34,2,15,城東 獣医（デモ）,t,"",5,0,doctor,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
35,3,16,敷島 獣医（デモ）,t,"",9,0,doctor,"",t,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
36,2,17,青山 純子,t,"",2,0,nurse,"",t,"","",2026-07-06 14:59:40.882499+09,2026-07-06 14:59:40.882499+09,
37,1,18,閲覧 太郎,t,"",4,16,nurse,"",f,"","",2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
